created_at,user.id,extended_tweet.full_text,text,place.name,LATITUDE,LONGITUDE,coordinates.coordinates,place.bounding_box.coordinates
Thu Jul 26 13:39:37 +0000 2018,9.86E+17,"What’s cooler than being cool? 
 - Ice Cold matcha latte - Simple n delish 🌴🌴
.
.
.
.
.
.
#matcha #matchatea #matchabar #matchalatte #icedmatcha #icedmatchalatte #宇治抹茶 #vsco #matchapowder… https://t.co/y1wOQ9wd5R","What’s cooler than being cool? 
 - Ice Cold matcha latte - Simple n delish 🌴🌴
.
.
.
.
.
.
#matcha #matchatea… https://t.co/jnDjiyimov",Poplar,51.51923,-0.07601,"[-0.07601,51.51923]","[[[-0.080028,51.48432],[-0.080028,51.545341],[0.009989,51.545341],[0.009989,51.48432]]]"
Thu Jul 26 13:40:01 +0000 2018,17649300,,I'm at @SurreyRugCare in Cheam https://t.co/E5q0bHZvIg,Sutton,51.36973556,-0.21233046,"[-0.21233046,51.36973556]","[[[-0.245869,51.330352],[-0.245869,51.393443],[-0.117306,51.393443],[-0.117306,51.330352]]]"
Thu Jul 26 13:40:02 +0000 2018,21476032,,"Property Alert: 1 Bedroom Flat For Sale https://t.co/VGuuSyACmq
 #GaytonRoad #Harrow #HA1 £350,000 https://t.co/qyl9MAsfWl",Harrow,51.5792375,-0.3321287,"[-0.3321287,51.5792375]","[[[-0.403988,51.55309],[-0.403988,51.638576],[-0.270137,51.638576],[-0.270137,51.55309]]]"
Thu Jul 26 13:40:08 +0000 2018,3014871646,Unveiling our new Logo✨ New Logo alert 😉 This is what our new logo looks like😊@Gosbeauty #gosbeautylogo #gosbeautymakeovers #gosbeauty #ukmua #englandmua #londonmua #thamesmeadmua @… https://t.co/fI46P87taa,Unveiling our new Logo✨ New Logo alert 😉 This is what our new logo looks like😊@Gosbeauty #gosbeautylogo… https://t.co/cpfcDxz36s,Eltham,51.5084396,0.1235397,"[0.1235397,51.5084396]","[[[0.045148,51.423888],[0.045148,51.512916],[0.133501,51.512916],[0.133501,51.423888]]]"
Thu Jul 26 13:40:09 +0000 2018,134544230,"House of Spangled Swimwear. Exclusive printed apparel. London design. Made in uk. Limited edition collection available now. Get it whilst it’s HOT 🔥☀️🏖😘 

SHOP: 💫SPANGLEVERSE PRINT💫… https://t.co/Wm9nj6lE9B",House of Spangled Swimwear. Exclusive printed apparel. London design. Made in uk. Limited edition collection availa… https://t.co/LaQXzGL3In,London,51.50711486,-0.12731805,"[-0.12731805,51.50711486]","[[[-0.187894,51.483718],[-0.187894,51.516466],[-0.109978,51.516466],[-0.109978,51.483718]]]"
Thu Jul 26 13:40:43 +0000 2018,119768841,"Bye #london see you again soon!
.
.
#solong #farewell #adieu parting is such sweet sorrow! #moviequotes @ Euston railway station https://t.co/Hdn2Zup9i7","Bye #london see you again soon!
.
.
#solong #farewell #adieu parting is such sweet sorrow! #moviequotes @ Euston ra… https://t.co/OSGBqiXGgR",Camden Town,51.5284,-0.1331,"[-0.1331,51.5284]","[[[-0.213503,51.512805],[-0.213503,51.572068],[-0.105303,51.572068],[-0.105303,51.512805]]]"
Thu Jul 26 13:41:37 +0000 2018,55546730,Our uniform has arrrived. We are going to be looking smart on camp (well the first day anyway) plus our #YoungLeaders shirts have arrived so they can stand out on camp too 👍🏻 #uniform… https://t.co/16MJyR3OoT,Our uniform has arrrived. We are going to be looking smart on camp (well the first day anyway) plus our… https://t.co/GqoCk7kAbP,Islington,51.54921729,-0.11524916,"[-0.11524916,51.54921729]","[[[-0.142058,51.518552],[-0.142058,51.575301],[-0.076305,51.575301],[-0.076305,51.518552]]]"
Thu Jul 26 13:41:47 +0000 2018,7.35E+17,"Beach waves 
@daniellemetz16 had done ✅ 
beauty_worksonline #slimline #highcontrastwarm #22inch at @amaisalon by. #Hairbyfelixuk
Styled with @hottoolsproeu 
#gorgeoushair #haircare… https://t.co/Dhbqtls4Fy","Beach waves 
@daniellemetz16 had done ✅ 
beauty_worksonline #slimline #highcontrastwarm #22inch at @amaisalon by.… https://t.co/9zSGmhyoeu",Sutton,51.35862752,-0.19147502,"[-0.19147502,51.35862752]","[[[-0.245869,51.330352],[-0.245869,51.393443],[-0.117306,51.393443],[-0.117306,51.330352]]]"
Thu Jul 26 13:41:50 +0000 2018,107913509,,"See our latest #London, England #job and click to apply: DevOps Engineer - https://t.co/h3gCvQz6T7 #IT #Hiring #CareerArc",London,51.5073509,-0.1277583,"[-0.1277583,51.5073509]","[[[-0.187894,51.483718],[-0.187894,51.516466],[-0.109978,51.516466],[-0.109978,51.483718]]]"
Thu Jul 26 13:42:04 +0000 2018,245548750,,Jack White Releases Cinematic 'Corporation' Video https://t.co/Coj1EwZtzE,Grays,51.48456719,0.36251664,"[0.36251664,51.48456719]","[[[0.228239,51.461687],[0.228239,51.511284],[0.407315,51.511284],[0.407315,51.461687]]]"
Thu Jul 26 13:43:29 +0000 2018,107649090,,"See our latest #Guildford, England #job and click to apply: vUDM Solution Architect - https://t.co/HasQ4FQuXb #IT #Hiring #CareerArc",Guildford,51.23622,-0.570409,"[-0.570409,51.23622]","[[[-0.619506,51.205293],[-0.619506,51.267548],[-0.520729,51.267548],[-0.520729,51.205293]]]"
